"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-26",399,"F",93,"G",1975,72,,,"Location","Maison Individuelle","71300","71",,0
"3CL - DPE","V2012","2013-06-20",0,"N",0,"N",1940,24.48,48.01175,0.188976,"Vente","Logement","72181","72","2 Avenue Louis Cordelet 72000 Le Mans",0.98
"Factures","2012","2013-06-17",0,"A",0,"A",1948,75,45.673757,6.365469,"Vente","Logement","73154","73","86 Chemin du genévrier 73200 Mercury",0.84
"FACTURE","VERSION_2012","2013-06-18",237.51,"E",55.57,"E",1974,110.96,45.909302,6.133139,"Vente","Logement","74010","74","11bis Rue henry bordeaux 74000 Annecy",0.86
"FACTURE - DPE","V2012","2013-05-17",146.55,"C",34.29,"D",1977,98.56,48.8717,2.29045,"Vente","Logement","75116","75","33 Avenue Victor Hugo 75016 Paris",0.98
"Méthode Facture",,"2013-06-03",0,"N",0,"N",1947,33,,,"Location","Logement","76130","76",,0
"3CL - DPE","V2012","2013-06-05",180.12,"D",7.67,"B",2007,84,48.743223,2.732506,"Vente","Maison Individuelle","77215","77","15 Avenue Carnot 77220 Gretz-Armainvilliers",0.96
"TROIS_CL_DPE","VERSION_2012","2013-06-03",448.56,"F",76.08,"F",1949,40.8,48.959514,1.799904,"Vente","Logement","78402","78","84 Rue Nationale 78970 Mézières-sur-Seine",0.97
"FACTURE - DPE","V2012","2013-06-07",406.68,"F",13.24,"C",1948,56.62,46.977681,-0.217237,"Location","Maison Individuelle","79329","79","15 Rue Drouyneau de Brie 79100 Thouars",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",293,"E",15,"C",2008,75.25,,,"Vente","Maison Individuelle","80460","80",,0
"3CL - DPE","V2012","2013-07-09",203.05,"D",47.51,"E",1968,114.71,43.593875,2.25024,"Vente","Maison Individuelle","81065","81","13 Rue Blaise Pascal 81100 Castres",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-25",323,"E",16,"C",1948,24,,,"Vente","Logement","82300","82",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-26",173,"D",5,"A",1989,31.44,,,"Vente","Logement","83990","83",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-14",352,"F",21,"D",1948,123.8,,,"Vente","Bâtiment collectif à usage principal d'habitation","84570","84",,0
"FACTURE - DPE","V2012","2013-06-11",143.58,"C",6.1,"B",2013,106.86,,,"Neuf","Maison Individuelle","85035","85",,0
"3CL - DPE","V2012","2013-06-12",297.97,"E",9.7,"B",1900,72,46.626773,0.280681,"Vente","Maison Individuelle","86158","86","23 Rue du Moulin de Limbre 86440 Migné-Auxances",0.96
"3CL - DPE","V2012","2013-06-26",260.6,"E",10.42,"B",2005,89.51,46.000968,1.371946,"Vente","Maison Individuelle","87183","87","5 lotissement les beiges 87240 Saint-Sylvestre",0.95
"3CL - DPE","V2012","2013-06-24",206.54,"D",48.33,"E",1950,63.2,48.06782,6.873003,"Vente","Logement","88196","88","4 Rue du 29e Bcp 88400 Gérardmer",0.56
"Méthode Facture",,"2013-07-15",248,"E",74,"F",1947,105,48.114121,3.064525,"Vente","Maison Individuelle","89144","89","2 Rue des Vergers 89150 Domats",0.42
"3CL - DPE","V2012","2013-08-16",0,"N",0,"N",1947,55.31,47.508069,6.999279,"Vente","Logement","90033","90","18 Rue du General Scherrer 90100 Delle",0.52
"FACTURE","VERSION_2012","2013-05-24",223.58,"D",38.45,"E",1971,63,48.677471,2.132248,"Vente","Logement","91275","91","8 Rue du Fromenteau 91940 Gometz-le-Châtel",0.37
"3CL-DPE","V2012","2013-06-01",162,"D",38,"E",1960,81.21,48.766343,2.269205,"Vente","Logement","92019","92","11 Allée Yves du Manoir 92290 Châtenay-Malabry",0.96
"FACTURE - DPE","V2012","2013-06-06",41.84,"A",9.79,"B",2013,137.09,48.967154,2.36953,"Neuf","Maison Individuelle","93059","93","68 Rue Morel d'Arleux 93380 Pierrefitte-sur-Seine",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",249,"E",13,"C",1983,59.08,,,"Vente","Logement","94360","94",,0
"FACTURE - DPE","V2012","2013-05-24",56.14,"B",2.34,"A",2006,7285.44,48.981673,2.269244,"Neuf","Maison Individuelle","95219","95","5 Rue Raoul Sberro 95120 Ermont",0.96
"Méthode Facture",,"2013-06-10",281,"E",8,"B",1947,90,46.268274,5.566406,"Vente","Maison Individuelle","01240","01","Route de Charmine 01580 Matafelon-Granges",0.43
"TROIS_CL_DPE","VERSION_2012","2013-06-22",693.21,"G",43.19,"E",1950,53,49.21847,3.214427,"Vente","Maison Individuelle","02015","02","10 Rue de l'Eglise 02600 Ancienville",0.33
"3CL - DPE","V2012","2013-07-02",237.67,"E",38.4,"E",1920,126.5,,,"Vente","Maison Individuelle","03140","03",,0
"3CL - DPE","V2012","2013-08-19",321.44,"E",12.02,"C",1980,92,,,"Location","Maison Individuelle","4022","04",,0
"Méthode Facture",,"2013-08-24",697,"G",21,"D",1947,77.58,44.515379,6.018348,"Vente","Logement","05100","05","Rue de la Mairie 05000 Pelleautier",0.3
"3CL - DPE","V2012","2013-05-21",150.29,"C",35.17,"D",1983,118.75,,,"Location","Maison Individuelle","6084","06",,0
"3CL - DPE","V2012","2013-07-05",0,"N",0,"N",2001,100,,,"Vente","Logement",".","07",,0
"Méthode Facture",,"2013-07-23",268,"E",62,"F",1947,55.3,,,"Vente","Logement","08000","08",,0
"3CL - DPE","V2012","2013-07-31",104.42,"C",24.43,"D",2009,113,,,"Location","Maison Individuelle","9264","09",,0
"Méthode Facture",,"2013-07-16",0,"N",0,"N",1947,208,,,"Vente","Maison Individuelle","10200","10",,0
"3CL - DPE","V2012","2013-05-21",150.86,"C",7.48,"B",2013,115,43.255774,2.414103,"Location","Maison Individuelle","11410","11","Rue Georges Brassens 11600 Villalier",0.43
"Factures","2012","2013-09-05",0,"A",0,"A",1948,102,44.110336,3.045687,"Vente","Maison Individuelle","12145","12","2520 Rue des Aumières 12100 Millau",0.86
"TROIS_CL_DPE","VERSION_2012","2013-05-29",105.96,"C",4.65,"A",2009,98,43.523651,4.714751,"Vente","Maison Individuelle","13004","13","5 Rue de la Verdière 13200 Arles",0.65
"3CL - DPE","V2012","2013-06-05",849.59,"G",50.98,"E",1977,18.79,49.282992,-0.200858,"Vente","Logement","14409","14","Avenue d'Evreux 14810 Merville-Franceville-Plage",0.95
"FACTURE","VERSION_2012","2013-09-02",189.17,"D",44.26,"E",1972,63,44.922724,2.444739,"Location","Logement","15014","15","14 Rue Pierre Marty 15000 Aurillac",0.96
"Méthode Facture",,"2013-06-18",189,"D",31,"D",1947,106,,,"Vente","Maison Individuelle","16730","16",,0
"Méthode Facture",,"2013-06-06",32,"A",1,"A",1,89.48,,,"Neuf","Maison Individuelle",,"17",,0
"3CL - DPE","V2012","2013-06-23",0,"N",0,"N",1974,51.67,47.084181,2.389906,"Vente","Logement","18033","18","3 Rue du Prinal 18000 Bourges",0.7
"Méthode 3CL","3CL-DPE, version 1.3","2013-08-13",533,"G",143,"G",1948,100,,,"Vente","Maison Individuelle","19260","19",,0
"FACTURE - DPE","V2012","2013-06-18",253.54,"E",59.33,"F",1974,38.42,47.307568,5.064746,"Vente","Logement","21231","21","58 Rue des Péjoces 21000 Dijon",0.98
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",95,"C",26,"D",1989,285,,,"Vente","Maison Individuelle","22430","22",,0
"FACTURE - DPE","V2012","2013-09-26",206.8,"D",10.69,"B",2013,120.28,46.131087,1.919259,"Neuf","Maison Individuelle","23193","23","29 Le Mas 23000 Sainte-Feyre",0.95
