"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",476,"G",142,"G",1948,60,43.436663,1.783593,"Vente","Maison Individuelle","31310","31","Chemin de Ronde 31290 Lux",0.41
"FACTURE - DPE","V2012","2013-07-08",209.56,"D",50.99,"E",1948,225,,,"Vente","Maison Individuelle","32082","32",,0
"FACTURE - DPE","V2012","2013-05-22",63.59,"N",2.07,"N",1948,68,48.2310526,4.7043297,"Location","Maison Individuelle","33034","33","Rue Pierre Brossolette (Pont) Bar-sur-Aube",0.71
"3CL - DPE","V2012","2013-05-24",213.1,"D",8.75,"B",2006,43,43.65419,3.968435,"Location","Logement","34327","34","3 Rue Vieille 34740 Vendargues",0.74
"TROIS_CL_DPE","VERSION_2012","2013-05-22",258.7,"E",77.61,"F",1975,129,47.992843,-1.615695,"Location","Maison Individuelle","35032","35","8 Rue de l'Ancienne Mairie 35230 Bourgbarré",0.56
"3CL - DPE","V2012","2013-06-25",282.38,"E",42.02,"E",1987,85.8,,,"Vente","Maison Individuelle","36006","36",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-10",444,"F",23,"D",1948,20.92,,,"Vente","Logement","37000","37",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",229,"D",8,"B",1989,120,45.613867,4.90527,"Vente","Maison Individuelle","38220","38","Chemin de Coupetan 69970 Marennes",0.38
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-05",462,"G",138,"G",1975,120,46.502942,5.862146,"Vente","Maison Individuelle","39130","39","Chemin des Brieres 39150 Nanchez",0.51
"3CL - DPE","V2012","2013-06-05",128,"C",6,"B",1974,102.09,43.726231,-1.045601,"Location","Maison Individuelle","40279","40","Boulevard Saint Vincent de Paul 40990 Saint-Paul-lès-Dax",0.76
"Méthode Facture",,"2013-06-04",0,"N",0,"N",1947,35,,,"Location","Logement","41000","41",,0
"FACTURE","VERSION_2012","2013-05-31",0,"A",0,"A",1900,169,,,"Vente","Maison Individuelle","42041","42",,0
"3CL - DPE","V2012","2013-07-04",371,"F",111,"G",1977,130,,,"Vente","Maison Individuelle","43130","43",,0
"FACTURE - DPE","V2012","2013-05-22",170.09,"D",7.63,"B",2006,95.56,47.076539,-1.255723,"Neuf","Maison Individuelle","44063","44","Rue du beau vallon 44190 Gétigné",0.43
"FACTURE - DPE","V2012","2013-05-30",85.83,"B",20.09,"C",2006,48,47.935924,1.820661,"Neuf","Maison Individuelle","45235","45","1 Rue des Glazières 45140 Ormes",0.96
"TROIS_CL_DPE","VERSION_2012","2013-08-09",481.92,"G",28.91,"D",1959,65.12,,,"Vente","Maison Individuelle","46061","46",,0
"3CL","v15c","2013-06-06",325.07,"E",16.68,"C",1979,134,44.381193,0.3329,"Copropriété","Maison Individuelle","47310","47","Lajaunie 47400 Tonneins",0.44
"Méthode 3CL","3CL-DPE, version 1.3","2013-10-02",377,"F",88,"G",1948,83,,,"Vente","Maison Individuelle","48220","48",,0
"Méthode Facture",,"2013-06-07",184,"D",6,"B",1947,220,,,"Vente","Maison Individuelle","49150","49",,0
"Méthode Facture",,"2013-05-29",213,"D",6,"B",1947,121.86,,,"Location","Maison Individuelle","50700","50",,0
"FACTURE - DPE","V2012","2013-06-11",164.75,"D",49.42,"E",1948,205,49.268878,3.991189,"Vente","Maison Individuelle","51474","51","2 Rue Sorbon 51370 Saint-Brice-Courcelles",0.96
"facture","1.3","2013-07-11",55.41,"B",1.8,"A",1974,88,48.026251,5.367744,"Vente","Maison Individuelle","52361","52","5 Rue sous l’Eglise 52800 Nogent",0.95
"3CL - DPE","V2012","2013-06-10",576.71,"G",34.34,"D",1974,44.62,48.413049,-0.629272,"Vente","Maison Individuelle","53003","53","15bis Impasse du Haut Montaton 53300 Ambrières-les-Vallées",0.86
"3CL - DPE","V2012","2013-06-06",101,"C",21,"D",2000,122.45,49.490268,5.752433,"Vente","Maison Individuelle","54451","54","2 Rue du 19 Mars 1962 54430 Réhon",0.95
"3CL - DPE","V2012","2013-07-11",505.91,"G",125.91,"G",1969,79,49.15427,5.387897,"Vente","Maison Individuelle","55545","55","4 Quai Saint Airy 55100 Verdun",0.45
"3CL - DPE","V2012","2013-06-02",0,"N",0,"N",1930,71.75,47.878136,-2.769894,"Vente","Maison Individuelle","56017","56","Rue de la Claie 56500 Bignan",0.31
"TROIS_CL_DPE","VERSION_2012","2013-06-14",250.77,"E",41.92,"E",1970,155,49.157348,6.230293,"Vente","Maison Individuelle","57142","57","Rue des Roses 57070 Chieulles",0.38
"FACTURE - DPE","V2012","2013-07-01",0,"N",0,"N",1948,50,46.825982,3.450846,"Vente","Maison Individuelle","58095","58","12 Impasse des Cités 58300 Decize",0.68
"Méthode Facture",,"2013-05-21",124,"C",29,"D",1947,88,50.256273,3.422143,"Vente","Maison Individuelle","59285","59","8 Impasse Audin 59198 Haspres",0.41
"3CL - DPE","V2012","2013-05-31",193.81,"D",35.66,"D",1974,99.51,49.294087,2.336573,"Vente","Maison Individuelle","60044","60","20ter Rue du Général de Gaulle 60250 Balagny-sur-Thérain",0.87
"Méthode Facture",,"2013-06-12",214,"D",43,"E",1947,93.07,48.565041,0.69993,"Vente","Maison Individuelle","61250","61","Le Bourg 61290 Longny les Villages",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-23",228,"D",53,"E",1948,116.24,50.738151,1.821674,"Vente","Maison Individuelle","62230","62","17 Rue du Communal 62142 Colembert",0.35
"3CL - DPE","V2012","2013-06-07",297.74,"E",14.03,"C",2000,87.58,45.70088,3.105064,"Vente","Maison Individuelle","63084","63","8 Route d’Opme 63450 Chanonat",0.96
"TROIS_CL_DPE","VERSION_2012","2013-05-30",212.9,"D",9.22,"B",2000,48.47,,,"Vente","Logement","64038","64",,0
"Méthode Facture",,"2013-06-17",0,"N",0,"N",1947,25.32,,,"Vente","Logement","65100","65",,0
"3CL - DPE","V2012","2013-05-23",158.31,"D",26.51,"D",1960,81.39,42.686945,2.881187,"Vente","Logement","66136","66","1 Rue Antoine Blain 66000 Perpignan",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-04",103,"C",24,"D",2003,205,,,"Vente","Maison Individuelle","67370","67",,0
"3CL - DPE","V2012","2013-06-08",147,"C",34,"D",2005,219.01,47.796939,7.334497,"Vente","Maison Individuelle","68166","68","1 Rue Paul Cézanne 68260 Kingersheim",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-18",208,"D",32,"D",1983,210,45.626412,4.952493,"Vente","Maison Individuelle","69270","69","3 Route de Flassieu 69970 Chaponnay",0.47
"Méthode Facture",,"2013-08-09",145,"C",37,"E",1947,231.45,47.271922,5.716775,"Vente","Maison Individuelle","70150","70","4 Route de Banne 70150 Chenevrey-et-Morogne",0.47
"3CL - DPE","V2012","2013-06-13",0,"N",0,"N",1974,84.84,46.291038,4.307888,"Vente","Logement","71133","71","1 Rue de la Poste 71800 La Clayette",0.94
"Méthode Facture",,"2013-06-10",255,"E",76,"F",1947,117,47.0830123,2.3872819,"Vente","Maison Individuelle","72510","72","Rue du Champ de Foire (Pont) Bourges",0.7
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-13",415,"F",25,"D",1948,69,,,"Vente","Logement","73350","73",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-07",512,"G",28,"D",1989,36.45,,,"Vente","Logement","74170","74",,0
"Méthode Facture",,"2013-05-17",0,"N",0,"N",1947,45.55,,,"Vente","Logement","75009","75",,0
"3CL - DPE","V2012","2013-05-29",453,"G",11,"C",1974,107,50.017623,1.448843,"Vente","Maison Individuelle","76638","76","36 Rue de la Poterie 76260 Saint-Pierre-en-Val",0.95
"3CL - DPE","V2012","2013-05-30",292.1,"E",68.35,"F",1974,78,48.857494,2.582922,"Vente","Maison Individuelle","77083","77","15 Rue des Courlis 77420 Champs-sur-Marne",0.97
"3CL - DPE","V2012","2013-05-24",92,"C",22,"D",1956,210,48.835092,2.12061,"Vente","Maison Individuelle","78158","78","6 Rue des Platanes 78150 Le Chesnay-Rocquencourt",0.96
"TROIS_CL_DPE","VERSION_2012","2013-05-28",271.93,"E",25,"D",1960,35,,,"Location","Maison Individuelle","79034","79",,0
"3CL - DPE","V2012","2013-05-24",341.38,"F",102.41,"G",1874,108.06,49.815033,2.205206,"Vente","Maison Individuelle","80643","80","21 Rue du Général Leclerc 80160 Prouzel",0.91
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-21",571,"G",35,"D",1978,38.14,,,"Vente","Logement","81000","81",,0
"Méthode Facture",,"2013-06-20",188,"D",42,"E",1947,125,,,"Vente","Maison Individuelle","82330","82",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-16",192,"D",10,"B",2001,120.3,,,"Vente","Maison Individuelle","83690","83",,0
"3CL - DPE","V2012","2013-05-31",263.19,"E",14.25,"C",2013,97,44.008278,5.055327,"Location","Maison Individuelle","84088","84","457 Petite Route de Carpentras 84210 Pernes-les-Fontaines",0.91
"TROIS_CL_DPE","VERSION_2012","2013-06-04",277.26,"E",64.88,"F",1950,137.85,46.495729,-1.796632,"Vente","Maison Individuelle","85194","85","12 Quai george V 85340 Les Sables-d'Olonne",0.81
"3CL - DPE","V2012","2013-06-04",163.12,"D",8.65,"B",2007,169.58,46.342095,0.26541,"Vente","Maison Individuelle","86003","86","6 Rue de la Vallée du Clain 86700 Anché",0.38
"3CL - DPE","V2012","2013-06-12",328.74,"E",6.39,"B",1982,112.8,45.827025,1.30119,"Vente","Maison Individuelle","87114","87","35 Rue Fénelon 87350 Panazol",0.96
"3CL - DPE","V2012","2013-06-10",317.33,"E",80.13,"F",1791,160,48.154976,6.865997,"Vente","Maison Individuelle","88115","88","Route de la Charmelle 88430 Corcieux",0.44
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-01",86,"B",20,"C",2006,85,,,"Location","Logement","89000","89",,0
"Méthode Facture",,"2013-07-17",184,"D",39,"E",1947,156,,,"Vente","Maison Individuelle","90300","90",,0
"Méthode Facture",,"2013-04-25",407,"F",95,"G",1947,64,48.321301,2.100495,"Vente","Maison Individuelle","91390","91","Route de Saint Cyr 91660 Le Mérévillois",0.36
"Méthode Facture",,"2013-05-23",259,"E",42,"E",1947,28,,,"Vente","Logement","92230","92",,0
"3CL - DPE","V2012","2013-05-26",278.95,"E",11.72,"C",2005,24.08,48.889752,2.403407,"Vente","Logement","93055","93","4 Rue des Grilles 93500 Pantin",0.97
"FACTURE - DPE","V2012","2013-05-31",213.97,"D",50.07,"E",1974,51.87,48.77621,2.327973,"Vente","Logement","94038","94","58 Rue du 8 Mai 1945 94240 L'Haÿ-les-Roses",0.97
"3CL - DPE","V2012","2013-05-26",418,"F",25,"D",1974,92.2,49.02444,1.986226,"Vente","Maison Individuelle","95388","95","3 Rue du Maréchal Leclerc 95180 Menucourt",0.96
"3CL - DPE","V2012","2013-05-30",686.96,"G",33.96,"D",1985,33.4,,,"Vente","Maison Individuelle","1109","01",,0
"Méthode Facture",,"2013-06-04",0,"N",0,"N",1947,144,,,"Vente","Maison Individuelle","02400","02",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-18",265,"E",62,"F",1948,71.82,,,"Vente","Logement","03200","03",,0
"FACTURE - DPE","V2012","2013-07-18",174.53,"D",8.47,"B",2013,102,43.88512,5.649162,"Neuf","Maison Individuelle","04160","04","Chemin de Pierrefeu 04110 Reillanne",0.36
"Méthode Facture",,"2013-07-12",0,"N",0,"N",1,51.52,,,"Vente","Logement","05100","05",,0
"3CL - DPE","V2012","2013-05-16",280.05,"E",13.78,"C",1965,13.61,,,"Vente","Logement","6029","06",,0
"3CL - DPE","V2012","2013-06-19",293.24,"E",15.32,"C",1974,95.9,45.112637,4.78413,"Vente","Maison Individuelle","07345","07","Route de Bobon 07610 Vion",0.45
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-02",316,"E",4,"A",1948,75,49.633822,5.160887,"Vente","Maison Individuelle","08090","08","8 Rue de la Fontaine aux Chenes 08110 Carignan",0.62
"Méthode Facture",,"2013-07-10",0,"N",0,"N",1947,48.8,,,"Location","Logement","09000","09",,0
"3CL - DPE","V2012","2013-07-01",317.22,"E",17.89,"C",2004,99.12,48.260871,3.995089,"Vente","Maison Individuelle","10340","10","425 Rue Berthelot 10120 Saint-Germain",0.96
"3CL - DPE","V2012","2013-06-11",286.5,"E",14.01,"C",1982,35.71,43.17424,3.18421,"Vente","Logement","11145","11","Avenue P Brossolette St Pierre 11560 Fleury",0.68
"3CL","2012","2013-07-31",597.52,"G",38.54,"E",1976,135,44.098225,3.060614,"Vente","Maison Individuelle","12145","12","29 Rue du Docteur Quezac 12100 Millau",0.86
"3CL - DPE","V2012","2013-05-21",199.35,"D",9.06,"B",1974,34.14,43.176147,5.600732,"Location","Logement","13028","13","4 Avenue de la Petanque 13600 La Ciotat",0.96
"3CL - DPE","V2012","2013-05-29",273.66,"E",14.41,"C",2003,80,49.330271,-0.41301,"Vente","Maison Individuelle","14066","14","59 Rue des Bucardes 14990 Bernières-sur-Mer",0.95
"FACTURE - DPE","V2012","2013-07-30",53.7,"B",12.56,"C",2013,1873,44.91921,2.428365,"Neuf","Maison Individuelle","15014","15","Boulevard du Vialenc 15000 Aurillac",0.96
"FACTURE - DPE","V2012","2013-06-06",202.54,"D",9.69,"B",2013,91.51,45.605086,0.034518,"Neuf","Maison Individuelle","16287","16","Lot le Haut des Chateliers 16440 Roullet-Saint-Estèphe",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-29",220,"D",11,"C",1989,160,45.691988,-0.532209,"Vente","Maison Individuelle","17400","17","1 Chemin de Chez Fruger 17800 Saint-Sever-de-Saintonge",0.36
"Méthode Facture",,"2013-06-13",0,"N",0,"N",1947,58,,,"Vente","Maison Individuelle","18800","18",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-12",357,"F",17,"C",1948,23.14,,,"Location","Logement","19100","19",,0
"FACTURE - DPE","V2012","2013-06-07",84.35,"B",19.74,"C",1948,108,47.368597,5.083145,"Location","Logement","21535","21","13 Rue des Ecoles 21490 Ruffey-lès-Echirey",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-24",312,"E",15,"C",2001,41.1,,,"Location","Logement","22400","22",,0
"Méthode Facture",,"2013-08-06",303,"E",91,"G",1947,77.69,,,"Vente","Maison Individuelle","23600","23",,0
"3CL - DPE","V2012","2013-06-13",383.57,"F",89.76,"G",1974,130.4,,,"Vente","Maison Individuelle","24082","24",,0
"Méthode Facture",,"2013-06-16",157,"D",40,"E",1947,140,,,"Vente","Maison Individuelle","25660","25",,0
"FACTURE - DPE","V2012","2013-06-04",33.15,"A",7.76,"B",0,1759.14,45.037368,5.048488,"Neuf","Maison Individuelle","26057","26","9 Rue Henri Durand 26300 Bourg-de-Péage",0.79
"3CL","v15c","2013-06-11",172.87,"D",6.99,"B",2003,114,49.189789,0.902244,"Copropriété","Maison Individuelle","27663","27","188 Rue des Ecoles 27110 Le Troncq",0.94
"FACTURE - DPE","V2012","2013-05-22",240.41,"E",12.2,"C",2013,90.04,48.456375,1.342897,"Neuf","Maison Individuelle","28325","28","14 Rue de la Vallee 28300 Saint-Aubin-des-Bois",0.95
"3CL - DPE","V2012","2013-05-27",0,"N",0,"N",1947,100.42,,,"Vente","Maison Individuelle","29056","29",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-08-30",160,"D",6,"B",2006,77.73,,,"Location","Maison Individuelle","20137","2A",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-10-21",204,"D",7,"B",2006,45.34,42.837922,9.472166,"Vente","Logement","2B224","2B","Presa 20233 Pietracorbara",0.31
"3CL - DPE","V2012","2013-06-03",132.27,"C",30.95,"D",1971,46.61,43.839731,4.317693,"Location","Logement","30189","30","103 Rue des Goélands 30900 Nîmes",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",476,"G",142,"G",1948,60,43.436663,1.783593,"Vente","Maison Individuelle","31310","31","Chemin de Ronde 31290 Lux",0.41
"3CL - DPE","V2012","2013-07-05",255.94,"E",8.33,"B",1946,133.77,43.861293,0.024236,"Vente","Maison Individuelle","32340","32","Chemin de la Prime 32800 Réans",0.37
"3CL - DPE","V2012","2013-05-22",209.53,"D",8.95,"B",2000,60,,,"Vente","Logement","33039","33",,0
"Méthode Facture",,"2013-05-24",263,"E",8,"B",1947,87.83,,,"Vente","Maison Individuelle","34330","34",,0
"3CL - DPE","V2012","2013-05-21",172.07,"D",26.13,"D",1996,166,,,"Vente","Maison Individuelle","35189","35",,0
"FACTURE - DPE","V2012","2013-06-25",37.46,"A",1.43,"A",2013,100.97,46.625994,1.063944,"Neuf","Maison Individuelle","36018","36","Chemin des Sigoulants 36300 Le Blanc",0.91
"3CL - DPE","V2012","2013-06-10",216.15,"D",11.04,"C",2006,105,47.2565,0.452871,"Vente","Maison Individuelle","37067","37","23 Rue du Vieux Chêne 37190 Cheillé",0.95
"Méthode Facture",,"2013-05-27",113,"C",5,"A",1,70.09,,,"Vente","Logement","38700","38",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-05",226,"D",11,"C",2001,104.93,,,"Vente","Maison Individuelle","39380","39",,0
"3CL - DPE","V2012","2013-06-05",163,"D",8,"B",1974,102.09,43.726231,-1.045601,"Location","Maison Individuelle","40279","40","Boulevard Saint Vincent de Paul 40990 Saint-Paul-lès-Dax",0.76
"FACTURE","VERSION_2012","2013-06-10",0,"A",0,"A",1900,67,,,"Vente","Maison Individuelle","41045","41",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-31",245,"E",57,"F",1989,51.66,,,"Vente","Logement","42100","42",,0
"FACTURE","VERSION_2012","2013-07-04",0,"N",0,"N",1900,133,,,"Vente","Logement","43002","43",,0
"Méthode Facture",,"2013-05-22",261,"E",61,"F",1947,79,,,"Vente","Maison Individuelle","44300","44",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-28",351,"F",22,"D",1976,133,47.860091,2.26448,"Vente","Maison Individuelle","45290","45","Rue des Tilleuls 45110 Saint-Martin-d'Abbat",0.38
"TROIS_CL_DPE","VERSION_2012","2013-08-09",340.16,"F",27.38,"D",1970,82,,,"Vente","Maison Individuelle","46061","46",,0
"3CL","v15c","2013-06-06",325.07,"E",16.68,"C",1979,134,44.381193,0.3329,"Copropriété","Maison Individuelle","47310","47","Lajaunie 47400 Tonneins",0.44
"Méthode 3CL","3CL-DPE, version 1.3","2013-10-02",416,"F",85,"G",1948,95.44,,,"Vente","Maison Individuelle","48140","48",,0
"3CL - DPE","V2012","2013-06-06",218.04,"D",10.58,"B",2005,77,47.464951,-0.541013,"Location","Logement","49007","49","16 Rue du Fresne 49000 Angers",0.97
"Méthode Facture",,"2013-05-29",276,"E",64,"F",1947,144.8,49.193451,-0.93551,"Vente","Maison Individuelle","50110","50","Rue des Halles 50680 Cerisy-la-Forêt",0.49
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-12",227,"D",10,"B",1989,97,48.641107,4.690033,"Location","Maison Individuelle","51300","51","4 Grande Rue 51290 Isle-sur-Marne",0.94
"Méthode Facture",,"2013-07-24",159,"D",37,"E",1947,160,48.22235,4.8815,"Location","Logement","52100","52","29 Rue des Vignes 52330 Colombey les Deux Églises",0.46
"Méthode Facture",,"2013-06-12",284,"E",66,"F",1947,59.67,,,"Vente","Maison Individuelle","53000","53",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-05",641,"G",64,"F",1948,93,48.623553,5.828074,"Vente","Maison Individuelle","54120","54","16 Rue du Han 54113 Charmes-la-Côte",0.49
"FACTURE","VERSION_2012","2013-07-17",143.2,"C",4.66,"A",1900,162.15,48.475643,5.714735,"Vente","Maison Individuelle","55080","55","8 Rue de la Fontaine 55140 Brixey-aux-Chanoines",0.45
"3CL - DPE","V2012","2013-06-02",75.88,"B",3.77,"A",2012,144.4,47.984634,-2.989802,"Vente","Maison Individuelle","56173","56","Rue de Rimaison 56930 Pluméliau-Bieuzy",0.95
"TROIS_CL_DPE","VERSION_2012","2013-06-14",92.99,"C",21.76,"D",2006,77,,,"Vente","Logement","57067","57",,0
"FACTURE - DPE","V2012","2013-07-02",72.44,"N",2.36,"N",1948,104,46.819432,3.359811,"Vente","Maison Individuelle","58020","58","La Vernou 58300 Avril-sur-Loire",0.3
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",294,"E",55,"E",1948,89,50.670503,2.714903,"Vente","Maison Individuelle","59180","59","Rue des Carliers 59940 Le Doulieu",0.37
"Méthode Facture",,"2013-06-02",0,"N",0,"N",1947,45.61,49.510974,2.312583,"Location","Logement","60520","60","Rue du Moulin 60480 Le Quesnel-Aubry",0.75
"FACTURE - DPE","V2012","2013-06-03",0,"N",0,"N",1948,16,48.517962,0.549207,"Location","Maison Individuelle","61293","61","63 Rue des Déportés 61400 Mortagne-au-Perche",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",296,"E",58,"F",1978,74.8,,,"Location","Maison Individuelle","62176","62",,0
"3CL - DPE","V2012","2013-06-11",0,"N",0,"N",1974,81,45.799563,3.2497,"Vente","Logement","63284","63","7 rue Portepain 63430 Pont-du-Château",0.66
"TROIS_CL_DPE","VERSION_2012","2013-05-30",211.81,"D",9.14,"B",2000,48.48,,,"Vente","Logement","64038","64",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-17",207,"D",11,"C",2010,89,,,"Vente","Maison Individuelle","65800","65",,0
"3CL - DPE","V2012","2013-05-23",176.66,"D",6.99,"B",1995,56.11,42.764881,3.0299,"Vente","Logement","66212","66","le Village Marin Catalan 66440 Torreilles",0.89
"3CL","2012","2013-06-03",260.29,"E",3.62,"A",1991,75,,,"Vente","Maison Individuelle","67600","67",,0
"Méthode Facture",,"2013-06-09",65,"B",2,"A",1947,50.67,,,"Vente","Maison Individuelle","68140","68",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-18",154,"D",33,"D",1978,270,46.253188,4.616111,"Vente","Maison Individuelle","69210","69","chemin du muguet 69860 Deux-Grosnes",0.43
"FACTURE","VERSION_2012","2013-08-09",75.69,"B",20.74,"C",1900,135,,,"Vente","Maison Individuelle","70018","70",,0
"Méthode Facture",,"2013-06-14",103,"C",24,"D",1947,43,,,"Vente","Logement","71000","71",,0
"TROIS_CL_DPE","VERSION_2012","2013-06-10",209.29,"D",48.97,"E",1970,67.66,48.020837,0.206474,"Vente","Logement","72181","72","30 Rue de Budapest 72000 Le Mans",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-13",336,"F",20,"C",1948,112,44.0819536,4.0950988,"Vente","Maison Individuelle","73000","73","Chemin de Chantemerle Saint-Christol-lès-Alès",0.76
"FACTURE","VERSION_2012","2013-06-07",289.46,"E",86.83,"G",1971,30,45.919819,6.120972,"Location","Logement","74010","74","55 Chemin des fins nord 74000 Annecy",0.98
"FACTURE","VERSION_2012","2013-05-17",213.32,"D",49.91,"E",1970,60.94,48.864802,2.282611,"Vente","Logement","75116","75","24 Rue des Sablons 75016 Paris",0.98
"3CL","v15c","2013-05-23",309.2,"E",72.35,"F",1974,63.31,49.497839,0.137362,"Copropriété","Logement","76351","76","57 Rue François Mazeline 76600 Le Havre",0.98
"TROIS_CL_DPE","VERSION_2012","2013-05-30",230.32,"D",10.85,"B",1995,63.7,48.951605,2.612143,"Location","Maison Individuelle","77514","77","29 Rue de la Réneuse 77270 Villeparisis",0.5
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-24",330,"E",20,"C",1983,113,48.713616,2.040174,"Vente","Maison Individuelle","78160","78","Rue du Bois Saint-martin 78460 Chevreuse",0.38
"FACTURE - DPE","V2012","2013-05-27",359.3,"F",11.7,"C",1948,57,46.634482,-0.513066,"Vente","Maison Individuelle","79342","79","8bis Rue de la Sèvre 79240 Vernoux-en-Gâtine",0.77
"3CL - DPE","V2012","2013-05-24",0,"N",0,"N",1947,22.28,49.882093,2.31923,"Location","Logement","80021","80","163 Rue de Cagny 80090 Amiens",0.99
"3CL - DPE","V2012","2013-06-21",345.29,"F",6.97,"B",1950,136.13,43.758909,2.023021,"Vente","Maison Individuelle","81105","81","152 Route de Gachou 81300 Graulhet",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-04",355,"F",19,"C",1948,84,,,"Vente","Maison Individuelle","82370","82",,0
"TROIS_CL_DPE","VERSION_2012","2013-05-18",147.75,"C",5.28,"A",2010,65,43.100127,5.88797,"Vente","Logement","83126","83","103 Allee Maurice Blanc 83500 La Seyne-sur-Mer",0.48
"3CL - DPE","V2012","2013-05-31",391.77,"F",20.89,"C",1950,32,43.837585,5.038913,"Location","Logement","84035","84","85 Rue Jean Jacques Rousseau 84300 Cavaillon",0.96
"3CL - DPE","V2012","2013-06-03",161.51,"D",8.05,"B",1971,193.41,46.505513,-1.733822,"Vente","Maison Individuelle","85060","85","Rue georges brassens 85340 Les Sables-d'Olonne",0.39
"Méthode Facture",,"2013-06-05",0,"N",0,"N",1947,65.18,,,"Location","Maison Individuelle","86170","86",,0
"3CL - DPE","V2012","2013-06-11",403,"F",23.1,"D",1982,77.07,45.881796,1.301765,"Vente","Maison Individuelle","87085","87","11 rue de la Rauge 87280 Limoges",0.97
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-11",229,"D",68,"F",1975,100,48.183898,5.766675,"Vente","Maison Individuelle","88430","88","12 Rue de la Corvée 88140 Saint-Ouen-lès-Parey",0.31
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-01",86,"B",20,"C",2006,85,,,"Location","Logement","89000","89",,0
"3CL - DPE","V2012","2013-07-17",87,"B",20,"C",2012,116.2,47.664168,6.836935,"Vente","Logement","90099","90","35bis Rue Georges Merckle 90300 Valdoie",0.49
"Méthode Facture",,"2013-05-22",305,"E",71,"F",1947,102,,,"Vente","Maison Individuelle","91150","91",,0
"3CL - DPE","V2012","2013-05-22",277.06,"E",11.47,"C",2011,27,48.798075,2.283248,"Vente","Logement","92020","92","30 Rue Klèber 92320 Châtillon",0.96
"3CL - DPE","V2012","2013-05-28",655.85,"G",39.8,"E",1960,50,48.879607,2.459803,"Vente","Maison Individuelle","93053","93","253 Boulevard Gabriel Péri 93130 Noisy-le-Sec",0.97
"3CL - DPE","V2012","2013-05-31",452,"G",15,"C",1974,50,48.841052,2.504899,"Vente","Logement","94058","94","58 Avenue Georges Clémenceau 94170 Le Perreux-sur-Marne",0.75
"3CL - DPE","V2012","2013-05-21",296.48,"E",17.84,"C",1990,154.3,49.14831,2.397428,"Vente","Maison Individuelle","95026","95","4 Allee du Bois de Bonnet 95270 Asnières-sur-Oise",0.54
"3CL - DPE","V2012","2013-05-22",232.59,"E",54.43,"E",1970,63,,,"Vente","Logement","1160","01",,0
"3CL - DPE","V2012","2013-06-12",163,"D",7,"B",2006,175.6,49.614074,3.596659,"Vente","Maison Individuelle","02037","02","8 Rue de Vivaise 02000 Aulnois-sous-Laon",0.95
"Méthode Facture",,"2013-06-17",414,"F",13,"C",1947,57.64,,,"Location","Maison Individuelle","03510","03",,0
"3CL - DPE","V2012","2013-07-15",441.79,"F",22.41,"D",1987,90.52,43.839127,5.790901,"Vente","Logement","04112","04","28i Rue du Clos 04100 Manosque",0.96
"Méthode Facture",,"2013-07-12",264,"E",6,"B",1,64.87,,,"Vente","Logement","05000","05",,0
"3CL - DPE","V2012","2013-05-17",300,"E",10,"B",1974,30.33,43.660229,6.924922,"Location","Logement","06069","06","6 Rue Paul Goby 06130 Grasse",0.97
